epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,14965.1,0.96519,1.46321,0.97611,1.04902,0.1963,0.10576,0.08468,0.03404,0.17125,0.0966,0.0557,0.01827,2.26049,3.97958,3.43125,2.32216,0.000539057,0.000539057,0.000539057
54,15060.5,0.91102,1.40352,0.91145,1.0191,0.18875,0.11111,0.10239,0.04027,0.15893,0.10301,0.06403,0.02495,2.29469,3.94663,3.27033,2.33815,0.000528058,0.000528058,0.000528058
55,15157.7,0.912,1.43095,0.91317,1.02654,0.17893,0.08225,0.09821,0.03687,0.2701,0.06242,0.074,0.02867,2.27012,4.08909,3.13299,2.31159,0.000517059,0.000517059,0.000517059
56,15250.3,0.90717,1.43386,0.91674,1.01917,0.07742,0.06883,0.06672,0.02527,0.19706,0.0496,0.04852,0.01721,2.22389,4.15883,3.30772,2.22289,0.00050606,0.00050606,0.00050606
57,15345.1,0.95147,1.43257,0.93545,1.0233,0.48145,0.06883,0.05121,0.01825,0.4743,0.06242,0.03581,0.01285,2.19767,4.36861,3.47763,2.20063,0.000495062,0.000495062,0.000495062
58,15435.2,0.9813,1.44061,0.97229,1.04693,0.43406,0.05128,0.05321,0.01754,0.47338,0.06242,0.03472,0.01264,2.20207,4.29831,3.40734,2.20259,0.000484063,0.000484063,0.000484063
59,15523.2,0.88299,1.35191,0.86898,0.99304,0.0885,0.10942,0.0478,0.0182,0.10384,0.12056,0.04901,0.01741,2.18422,4.19982,3.39104,2.20706,0.000473064,0.000473064,0.000473064
60,15613.2,0.92453,1.39267,0.89954,1.01534,0.14286,0.08637,0.06644,0.02526,0.11727,0.06242,0.0458,0.02014,2.18401,4.29101,3.4192,2.22153,0.000462065,0.000462065,0.000462065
61,16061.4,0.88063,1.37077,0.87758,1.01708,0.09587,0.10391,0.06239,0.021,0.11062,0.07996,0.03942,0.01497,2.20495,4.24004,3.43886,2.26314,0.000451066,0.000451066,0.000451066
62,16149.7,0.92374,1.43669,0.91489,1.01978,0.09968,0.06983,0.05629,0.02032,0.09818,0.08097,0.04006,0.01577,2.16469,4.1403,3.47653,2.24308,0.000440067,0.000440067,0.000440067
63,16239.7,0.91529,1.3236,0.89559,1.01101,0.11353,0.08333,0.08571,0.0308,0.08638,0.0641,0.05787,0.02394,2.14693,3.97049,3.2638,2.20935,0.000429068,0.000429068,0.000429068
64,16328.7,0.88868,1.40403,0.87358,1.00004,0.1046,0.0821,0.08528,0.035,0.11873,0.08806,0.06441,0.02798,2.1348,3.85486,3.21857,2.19573,0.000418069,0.000418069,0.000418069
65,16435.9,0.86558,1.30429,0.82879,0.98704,0.13205,0.09447,0.09101,0.04259,0.11068,0.08165,0.06622,0.03071,2.17868,3.88563,3.24675,2.21372,0.00040707,0.00040707,0.00040707
66,16528.4,0.86418,1.36463,0.84089,0.98681,0.17711,0.08806,0.087,0.03858,0.16213,0.08165,0.06391,0.03082,2.14851,3.88796,3.3681,2.21276,0.000396071,0.000396071,0.000396071
67,16620.6,0.90611,1.37637,0.88195,0.99341,0.11888,0.08333,0.09086,0.03847,0.15075,0.08165,0.07154,0.03187,2.1639,3.75333,3.38654,2.2629,0.000385073,0.000385073,0.000385073
