epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,10553.7,0.75383,0.75662,0.96417,0.12596,0.12955,0.10442,0.03702,2.14894,3.3366,2.23158,0.000121099,0.000121099,0.000121099
92,10676.9,0.72956,0.68153,0.94186,0.26001,0.13979,0.11535,0.03856,2.17797,3.3879,2.25227,0.0001101,0.0001101,0.0001101
93,10795.3,0.73781,0.69087,0.93343,0.2344,0.14486,0.11007,0.03789,2.17852,3.36832,2.23924,9.91012e-05,9.91012e-05,9.91012e-05
94,10870.5,0.71217,0.66593,0.92723,0.24753,0.13215,0.10564,0.03963,2.17544,3.38138,2.22656,8.81023e-05,8.81023e-05,8.81023e-05
95,10984.2,0.69069,0.68652,0.93361,0.2257,0.15261,0.10028,0.03822,2.18852,3.36917,2.25162,7.71034e-05,7.71034e-05,7.71034e-05
96,11085.1,0.6976,0.65679,0.92582,0.2277,0.17656,0.10457,0.03987,2.19009,3.29658,2.22804,6.61045e-05,6.61045e-05,6.61045e-05
97,11164.2,0.70497,0.6667,0.93658,0.16858,0.14879,0.10227,0.03894,2.19263,3.27615,2.21857,5.51056e-05,5.51056e-05,5.51056e-05
98,11297.5,0.68049,0.65913,0.92207,0.16292,0.14238,0.09414,0.03685,2.20147,3.31445,2.23667,4.41067e-05,4.41067e-05,4.41067e-05
99,11421.7,0.68168,0.63397,0.91916,0.15205,0.13761,0.09943,0.03661,2.20373,3.33619,2.22916,3.31078e-05,3.31078e-05,3.31078e-05
100,11539.6,0.68114,0.65231,0.93446,0.18964,0.11842,0.09038,0.03546,2.18465,3.37568,2.22884,2.21089e-05,2.21089e-05,2.21089e-05
